industry,budget,mail_response_count,total_meet_count,mail_open_rate,website_visits,converted
Healthcare,42636.35936372711,3,1,0.4104930695761341,34.0,0
Manufacturing,13039.508059761063,1,0,0.8529772955895082,50.0,0
SaaS,215595.09163932255,2,1,0.2794881694141538,11.0,0
SaaS,37939.12536900711,6,8,0.2687257315756688,18.0,1
Finance,36123.76087715763,3,2,0.2289433816234037,12.0,0
Finance,42672.26455255943,6,3,0.2706864080203848,20.0,1
Finance,592083.931957809,1,4,0.2151080585974545,1.0,1
E-commerce,62743.870223539336,1,0,0.0833136530663137,11.0,0
SaaS,35128.20894523384,1,0,0.0835974637756896,22.0,0
SaaS,53400.36369011103,4,1,0.3210218636879696,10.0,1
Finance,45389.34237517714,6,3,0.2879372742902154,28.0,1
Manufacturing,28864.82869601089,9,5,0.2288606335271698,25.0,1
E-commerce,71506.44812463572,6,2,0.212918865677532,11.0,1
Finance,20865.555164346417,2,1,0.3793409865322827,31.0,0
Finance,108003.89902817566,9,4,0.2196372288687219,19.0,1
Finance,356567.642680944,1,2,0.4130324465177549,11.0,1
Healthcare,384665.1047587149,2,5,0.3475247840583052,6.0,1
SaaS,18210.646407630345,2,1,0.7775868663672711,50.0,0
Healthcare,208831.6762046701,1,3,0.1776212269451411,7.0,1
Healthcare,25425.703210841795,0,0,0.768221748350931,47.0,0
SaaS,305604.8784289794,2,3,0.1170209693983853,5.0,1
Finance,319231.63284316665,0,0,0.3438234972302956,6.0,0
Healthcare,102798.47732322828,3,6,0.215956304762533,19.0,1
Healthcare,297835.02245884226,1,0,0.3414861922310332,5.0,0
SaaS,33631.35045751104,5,1,0.1709050037269812,11.0,0
E-commerce,193260.09032118987,2,2,0.1762784416107576,10.0,1
Finance,169378.16143688577,3,4,0.2062175513375742,12.0,1
SaaS,138985.32957146168,3,0,0.236444146061821,8.0,0
SaaS,255745.4023386812,6,8,0.3827644081855252,26.0,1
Finance,42410.09850717381,3,0,0.2480969687296921,17.0,0
SaaS,286910.98537640134,3,4,0.3336276976380665,10.0,1
Finance,30990.718258660905,0,0,0.1119815347708383,18.0,0
Finance,30331.8031648605,3,1,0.1962555682044828,17.0,0
Manufacturing,29214.266414146183,4,2,0.3308549395105463,17.0,1
Manufacturing,13311.865007824492,18,8,0.4118791696889561,27.0,1
E-commerce,12503.247830247245,1,0,0.4533726812481751,15.0,0
Healthcare,63790.3866071429,10,3,0.6105939636894343,25.0,1
Finance,18029.08366030544,3,0,0.8060621811007767,28.0,0
SaaS,16745.897473223806,5,2,0.2690694707047196,16.0,0
Healthcare,356513.9515441426,1,2,0.2768588472628781,17.0,1
Finance,76868.79323062467,2,0,0.067991477099691,13.0,0
SaaS,92698.8364897902,1,5,0.1258011206338202,5.0,1
Finance,15533.90114317393,1,0,0.7837838257667578,51.0,0
Manufacturing,81607.391578309,6,2,0.2513835070572482,7.0,1
Healthcare,117228.25091769814,1,1,0.0704739035912087,18.0,0
SaaS,44744.26092192605,8,4,0.2618712189201038,18.0,1
Healthcare,22411.53046564253,0,0,0.3825668858368558,45.0,0
SaaS,250416.86320569733,1,0,0.2584926933699673,13.0,0
SaaS,65696.97046893621,7,6,0.247009482056395,26.0,1
Finance,80761.55095319328,1,1,0.1068435175652404,15.0,0
Manufacturing,33314.395486052985,0,0,0.068208925085228,27.0,0
E-commerce,60315.85340251936,3,2,0.2527641849249757,8.0,0
Manufacturing,27072.03098126645,9,8,0.1433790358872219,26.0,1
E-commerce,47662.08961667678,5,0,0.2600780985146821,16.0,0
SaaS,93997.65280528482,5,2,0.3221457708148389,16.0,1
Manufacturing,28664.899074495523,4,1,0.2399254474432176,17.0,0
Finance,79815.66608930702,3,2,0.4795268620083534,33.0,0
Finance,144884.9148615343,5,1,0.2689104800896031,11.0,0
Finance,81331.57100714269,5,3,0.3085729400350174,11.0,1
Healthcare,12485.171643079126,3,0,0.9012182757653486,55.0,0
Healthcare,18825.755112894447,2,0,0.6539161194491756,38.0,0
Healthcare,285786.2496894375,2,2,0.2988178203392936,4.0,1
E-commerce,38157.27127895011,8,3,0.3940751956276866,13.0,1
Healthcare,13505.196134154368,2,0,0.3445087128034197,22.0,0
Healthcare,306992.753404992,2,3,0.3605730033376735,10.0,1
SaaS,35790.10198808653,4,2,0.1880008867219569,17.0,1
Finance,27689.13849799073,9,5,0.2862965909038693,16.0,1
E-commerce,72660.37623591519,8,4,0.3679203601489786,14.0,1
Finance,67960.10653085445,7,4,0.2417531839940966,33.0,1
Manufacturing,50122.863154906016,9,3,0.3281296991948185,19.0,1
E-commerce,152870.25956462257,7,5,0.3605314286227389,36.0,1
